V_fluid	Pressure	Strain_rate	Hoop_stress
       1.033  3.27418e-11            0  3.79968e+06
    0.929718  4.36557e-11            0  8.15619e+06
    0.786626  2.18279e-11 -1.38778e-17  1.41594e+07
    0.613553  2.91038e-11            0  2.13408e+07
    0.443864  5.82077e-11 -3.46945e-17  2.82413e+07
    0.336946  5.82077e-11 -6.93889e-17  3.22654e+07
    0.314623  2.91038e-11 -1.38778e-17  3.27442e+07
     0.28063  4.36557e-11 -3.46945e-18  3.34601e+07
    0.227774  2.91038e-11            0  3.45818e+07
    0.150082  1.45519e-11   3.1225e-17  3.62349e+07
   0.0473295            0 -6.89553e-17  3.84086e+07
  -0.0669233            0  3.46945e-18  4.08128e+07
    -0.16384 -1.45519e-11 -2.08167e-17  4.27632e+07
   -0.196456            0  5.89806e-17  4.31214e+07
   -0.197838  1.45519e-11  6.93889e-18  4.25852e+07
   -0.199561            0 -7.97973e-17  4.17531e+07
    -0.20216            0 -4.68375e-17  4.04866e+07
   -0.207041  1.45519e-11 -3.81639e-17  3.86672e+07
   -0.217052  1.45519e-11  6.93889e-18  3.63076e+07
   -0.235902  1.45519e-11  2.08167e-17  3.36806e+07
   -0.267225  4.36557e-11 -1.38778e-17  3.13657e+07
   -0.307458            0 -5.20417e-17  3.00687e+07
   -0.353793 -1.45519e-11  6.93889e-18  2.85797e+07
   -0.426814  1.45519e-11 -3.46945e-17  2.62342e+07
   -0.538089  1.45519e-11            0  2.26541e+07
   -0.695007  2.91038e-11 -4.16334e-17  1.75796e+07
   -0.889211 -1.45519e-11            0  1.12365e+07
    -1.08641  -1.2551e-10 -1.38778e-17  4.69273e+06
    -1.22137 -3.27418e-11            0     -25895.3
    -1.23968   -1.437e-10 -1.38778e-17      -939733
     -1.2514 -5.27507e-11            0 -1.74462e+06
    -1.27007 -4.91127e-11            0 -3.00716e+06
    -1.29814 -1.60071e-10            0 -4.89494e+06
    -1.33597 -7.63976e-11            0 -7.46138e+06
    -1.37897 -2.54659e-11            0 -1.04287e+07
     -1.4154 -7.27596e-11  2.77556e-17 -1.31117e+07
    -1.42313 -8.00355e-11  2.77556e-17 -1.43107e+07
    -1.40343 -5.82077e-11 -2.77556e-17 -1.41595e+07
    -1.37322 -1.01863e-10 -4.16334e-17 -1.38965e+07
    -1.32674 -1.60071e-10 -1.38778e-17 -1.34852e+07
    -1.25836 -9.45874e-11  1.38778e-17 -1.29108e+07
    -1.16627 -8.73115e-11  1.38778e-17 -1.22522e+07
    -1.05805 -1.96451e-10            0 -1.17391e+07
   -0.954169 -3.63798e-11            0 -1.17297e+07
   -0.888591 -4.36557e-11  2.77556e-17 -1.26323e+07
   -0.836766 -1.01863e-10 -2.77556e-17 -1.37278e+07
   -0.754899  1.45519e-11 -2.08167e-17 -1.54602e+07
   -0.628685 -2.18279e-11  4.16334e-17 -1.81263e+07
   -0.446244 -2.91038e-11            0 -2.19539e+07
    -0.21117 -2.91038e-11  5.20417e-17 -2.68175e+07
   0.0428495 -2.91038e-11  6.76542e-17 -3.19609e+07
    0.245476  2.91038e-11  6.93889e-17 -3.58314e+07
     0.30016 -1.45519e-11  8.32667e-17 -3.65461e+07
    0.323317 -1.45519e-11  1.38778e-17 -3.65803e+07
    0.359838 -1.45519e-11  2.08167e-17 -3.66444e+07
    0.415291 -5.82077e-11  4.85723e-17 -3.67504e+07
    0.492795 -5.82077e-11  2.77556e-17 -3.68978e+07
